Designator,Quantity,Designation
"1,20",2,PinSocket_1x19_P2.54mm_Vertical
D1-D12,12,LED 3mm
D13-D32,20,1N4148
"J1,J3,J13",3,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical
"J2,J4,J5,J6,J7,J8,J9,J10,J11,J12",10,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical
J14,1,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical
Q1-Q7,7,2N2222
"R1,R3,R5",3,22Ω
"R2,R11,R16",3,390Ω
"R4,R6,R12,R14",4,1.7kΩ
"R13,R15,R17",3,4.7kΩ
R7-R10,4,Button LED Resistors (Optional - Bridge JP1&JP2 to bypass)
SW1-SW3,3,Nidec_Copal_SH-7010C
SW5-SW8,4,Magnetic Reed Switch (Optional)
